iter	RMSE
0	14.19438164
1	13.46812539
2	12.78475515
3	12.21167337
4	11.66714284
5	11.13598367
6	10.6165671
7	10.11124579
8	9.698765093
9	9.233093672
10	8.837116514
11	8.508922669
12	8.189368933
13	7.920299163
14	7.663587656
15	7.373166266
16	7.128791769
17	6.917593056
18	6.729705315
19	6.5468086
20	6.376741093
21	6.221695304
22	6.061084224
23	5.935798971
24	5.829565982
25	5.721265816
26	5.614903798
27	5.527277003
28	5.453090081
29	5.378178421
30	5.32159062
31	5.243442894
32	5.164656285
33	5.096490082
34	5.028378054
35	4.963395527
36	4.914012244
37	4.851695765
38	4.80285648
39	4.754912249
40	4.70411697
41	4.662958374
601
42	6.05533179
43	5.991736407
44	5.92087166
45	5.848466925
46	5.779284783
47	5.714143744
48	5.652962063
49	5.599354131
50	5.538118129
51	5.479868312
52	5.429472455
53	5.384821714
54	5.340227582
55	5.293822496
56	5.246851184
57	5.199962541
58	5.153570916
59	5.113296918
60	5.078346277
61	5.040390517
62	5.007141498
63	4.978210212
64	4.941764498
65	4.918196409
66	4.887582618
67	4.855055904
