iter	Passed	Remaining
0	16	1667
1	20	1007
2	33	1075
3	38	922
4	51	983
5	55	862
6	57	768
7	70	810
8	83	840
9	85	772
10	88	712
11	98	725
12	102	686
13	115	711
14	126	715
15	128	674
16	137	670
17	145	661
18	155	662
19	156	626
20	161	606
21	172	611
22	181	607
23	188	597
24	192	576
25	199	568
26	208	562
27	218	561
28	224	549
29	238	555
30	240	534
31	253	539
32	269	547
33	284	552
34	299	556
35	311	554
36	327	556
37	338	552
38	347	544
39	361	541
40	378	544
41	398	550
	467	673
41	479	661
42	487	646
43	498	634
44	510	623
45	512	602
46	523	590
47	526	570
48	537	559
49	545	545
50	555	533
51	563	520
52	574	509
53	585	498
54	588	481
55	597	469
56	606	457
57	618	448
58	625	434
59	638	425
60	648	414
61	662	405
62	666	391
63	669	376
64	685	369
65	688	354
66	694	342
67	708	333
